StageName,InputFile,OutputFile
Face Tracking,/Users/bhuvaneshwaribhaskaran/PycharmProjects/videogaze/videoin/1.mp4,/Users/bhuvaneshwaribhaskaran/PycharmProjects/videogaze/track/output/1.mp4_faceTracks.csv

Frame number,Shot number,Face id,x_min,y_min,x_max,y_max
51,2,4,1086.0,125.0,1148.0,212.0
52,2,4,1086.0,125.0,1148.0,212.0
53,2,4,1085.0,125.0,1147.0,212.0
54,2,4,1085.0,125.0,1147.0,212.0
55,2,4,1084.0,125.0,1146.0,212.0
56,2,4,1084.0,125.0,1146.0,212.0
57,2,4,1084.0,124.0,1146.0,211.0
58,2,4,1083.0,125.0,1145.0,212.0
59,2,4,1083.0,124.0,1145.0,211.0
60,2,4,1083.0,125.0,1145.0,212.0
61,2,4,1082.0,124.0,1144.0,211.0
62,2,4,1082.0,125.0,1144.0,212.0
63,2,4,1082.0,124.0,1144.0,211.0
64,2,4,1082.0,125.0,1144.0,212.0
65,2,4,1082.0,124.0,1144.0,211.0
66,2,4,1082.0,124.0,1144.0,211.0
67,2,4,1081.0,124.0,1143.0,211.0
68,2,4,1081.0,124.0,1143.0,211.0
69,2,4,1081.0,124.0,1143.0,211.0
70,2,4,1081.0,124.0,1143.0,211.0
71,2,4,1081.0,124.0,1143.0,211.0
72,2,4,1081.0,124.0,1143.0,211.0
73,2,4,1081.0,124.0,1143.0,211.0
74,2,4,1081.0,124.0,1143.0,211.0
75,2,4,1081.0,124.0,1143.0,211.0
76,2,4,1081.0,124.0,1143.0,211.0
77,2,4,1081.0,124.0,1143.0,211.0
78,2,4,1081.0,124.0,1143.0,211.0
79,2,4,1081.0,124.0,1143.0,211.0
80,2,4,1081.0,124.0,1143.0,211.0
81,2,4,1081.0,124.0,1143.0,211.0
82,2,4,1081.0,124.0,1143.0,211.0
83,2,4,1081.0,124.0,1143.0,211.0
84,2,4,1081.0,124.0,1143.0,211.0
85,2,4,1081.0,124.0,1143.0,211.0
86,2,4,1081.0,124.0,1143.0,211.0
87,2,4,1081.0,124.0,1143.0,211.0
88,2,4,1082.0,124.0,1144.0,211.0
89,2,4,1082.0,124.0,1144.0,211.0
90,2,4,1082.0,123.0,1144.0,210.0
91,2,4,1082.0,122.0,1144.0,209.0
92,2,4,1082.0,123.0,1144.0,210.0
93,2,4,1082.0,122.0,1144.0,209.0
94,2,4,1082.0,123.0,1144.0,210.0
95,2,4,1082.0,122.0,1144.0,209.0
96,2,4,1082.0,122.0,1144.0,209.0
97,2,4,1082.0,122.0,1144.0,209.0
98,2,4,1082.0,122.0,1144.0,209.0
